site,resolution,variant,model,method,r2,mae_kwh,n_samples
house1,quarterly,all,physics,time_split,0.1997,0.2526,22661
house1,quarterly,all,linear,time_split,0.6696,0.157,22661
house1,quarterly,all,forest,time_split,0.6178,0.1396,22661
house1,quarterly,all,boosting,time_split,0.6085,0.1423,22661
house1,quarterly,all,physics,random,0.2415,0.225,22661
house1,quarterly,all,linear,random,0.6363,0.1494,22661
house1,quarterly,all,forest,random,0.8588,0.075,22661
house1,quarterly,all,boosting,random,0.8116,0.0918,22661
house1,quarterly,all,physics,ts_cv,0.083,0.2242,22661
house1,quarterly,all,linear,ts_cv,0.3579,0.1717,22661
house1,quarterly,all,forest,ts_cv,0.2677,0.1506,22661
house1,quarterly,all,boosting,ts_cv,0.4799,0.1415,22661
house1,quarterly,fair,physics,time_split,0.1997,0.2526,22661
house1,quarterly,fair,linear,time_split,0.6686,0.1573,22661
house1,quarterly,fair,forest,time_split,0.618,0.1394,22661
house1,quarterly,fair,boosting,time_split,0.6085,0.1423,22661
house1,quarterly,fair,physics,random,0.2415,0.225,22661
house1,quarterly,fair,linear,random,0.6357,0.1496,22661
house1,quarterly,fair,forest,random,0.859,0.0749,22661
house1,quarterly,fair,boosting,random,0.8116,0.0918,22661
house1,quarterly,fair,physics,ts_cv,0.083,0.2242,22661
house1,quarterly,fair,linear,ts_cv,0.3543,0.1724,22661
house1,quarterly,fair,forest,ts_cv,0.269,0.1508,22661
house1,quarterly,fair,boosting,ts_cv,0.4799,0.1415,22661
house1,quarterly,fair_lag,physics,time_split,0.1997,0.2526,22661
house1,quarterly,fair_lag,linear,time_split,0.7386,0.1333,22661
house1,quarterly,fair_lag,forest,time_split,0.6091,0.1356,22661
house1,quarterly,fair_lag,boosting,time_split,0.6043,0.1385,22661
house1,quarterly,fair_lag,physics,random,0.2415,0.225,22661
house1,quarterly,fair_lag,linear,random,0.6916,0.1293,22661
house1,quarterly,fair_lag,forest,random,0.8603,0.075,22661
house1,quarterly,fair_lag,boosting,random,0.8269,0.0869,22661
house1,quarterly,fair_lag,physics,ts_cv,0.083,0.2242,22661
house1,quarterly,fair_lag,linear,ts_cv,0.4783,0.1581,22661
house1,quarterly,fair_lag,forest,ts_cv,0.4915,0.1323,22661
house1,quarterly,fair_lag,boosting,ts_cv,0.5909,0.1249,22661
house1,daily,all,physics,time_split,0.6417,4.0081,418
house1,daily,all,linear,time_split,0.6486,3.9076,418
house1,daily,all,forest,time_split,0.5244,4.5369,418
house1,daily,all,boosting,time_split,0.482,4.8272,418
house1,daily,all,physics,random,0.7815,3.7132,418
house1,daily,all,linear,random,0.8055,3.5359,418
house1,daily,all,forest,random,0.8199,3.2717,418
house1,daily,all,boosting,random,0.8189,3.4602,418
house1,daily,all,physics,ts_cv,0.154,4.2273,418
house1,daily,all,linear,ts_cv,-0.3429,5.015,418
house1,daily,all,forest,ts_cv,0.2007,4.2198,418
house1,daily,all,boosting,ts_cv,-0.1304,4.9077,418
house1,daily,fair,physics,time_split,0.6417,4.0081,418
house1,daily,fair,linear,time_split,0.6472,3.9224,418
house1,daily,fair,forest,time_split,0.5185,4.5651,418
house1,daily,fair,boosting,time_split,0.4687,4.86,418
house1,daily,fair,physics,random,0.7815,3.7132,418
house1,daily,fair,linear,random,0.8055,3.5393,418
house1,daily,fair,forest,random,0.8206,3.251,418
house1,daily,fair,boosting,random,0.8208,3.4213,418
house1,daily,fair,physics,ts_cv,0.154,4.2273,418
house1,daily,fair,linear,ts_cv,-0.3367,5.008,418
house1,daily,fair,forest,ts_cv,0.1858,4.2468,418
house1,daily,fair,boosting,ts_cv,-0.1361,4.928,418
house1,daily,fair_lag,physics,time_split,0.6417,4.0081,418
house1,daily,fair_lag,linear,time_split,0.6521,3.9012,418
house1,daily,fair_lag,forest,time_split,0.5345,4.4846,418
house1,daily,fair_lag,boosting,time_split,0.4865,4.7527,418
house1,daily,fair_lag,physics,random,0.7815,3.7132,418
house1,daily,fair_lag,linear,random,0.801,3.5827,418
house1,daily,fair_lag,forest,random,0.8129,3.3098,418
house1,daily,fair_lag,boosting,random,0.7862,3.6691,418
house1,daily,fair_lag,physics,ts_cv,0.154,4.2273,418
house1,daily,fair_lag,linear,ts_cv,-1.1779,6.6299,418
house1,daily,fair_lag,forest,ts_cv,0.1414,4.2594,418
house1,daily,fair_lag,boosting,ts_cv,-0.0628,4.6463,418
house2,quarterly,all,physics,time_split,0.2194,0.1158,27490
house2,quarterly,all,linear,time_split,0.687,0.0706,27490
house2,quarterly,all,forest,time_split,0.765,0.052,27490
house2,quarterly,all,boosting,time_split,0.7625,0.0531,27490
house2,quarterly,all,physics,random,0.3144,0.1021,27490
house2,quarterly,all,linear,random,0.6981,0.0672,27490
house2,quarterly,all,forest,random,0.8793,0.0332,27490
house2,quarterly,all,boosting,random,0.8441,0.0401,27490
house2,quarterly,all,physics,ts_cv,0.2367,0.1036,27490
house2,quarterly,all,linear,ts_cv,0.6205,0.0702,27490
house2,quarterly,all,forest,ts_cv,0.687,0.0534,27490
house2,quarterly,all,boosting,ts_cv,0.6793,0.0549,27490
house2,quarterly,fair,physics,time_split,0.2194,0.1158,27490
house2,quarterly,fair,linear,time_split,0.6862,0.0707,27490
house2,quarterly,fair,forest,time_split,0.7643,0.0522,27490
house2,quarterly,fair,boosting,time_split,0.7625,0.0531,27490
house2,quarterly,fair,physics,random,0.3144,0.1021,27490
house2,quarterly,fair,linear,random,0.6975,0.0672,27490
house2,quarterly,fair,forest,random,0.8794,0.0331,27490
house2,quarterly,fair,boosting,random,0.8441,0.0401,27490
house2,quarterly,fair,physics,ts_cv,0.2367,0.1036,27490
house2,quarterly,fair,linear,ts_cv,0.6191,0.0703,27490
house2,quarterly,fair,forest,ts_cv,0.6867,0.0534,27490
house2,quarterly,fair,boosting,ts_cv,0.6798,0.0548,27490
house2,quarterly,fair_lag,physics,time_split,0.2194,0.1158,27490
house2,quarterly,fair_lag,linear,time_split,0.7465,0.0591,27490
house2,quarterly,fair_lag,forest,time_split,0.7822,0.0484,27490
house2,quarterly,fair_lag,boosting,time_split,0.7801,0.0505,27490
house2,quarterly,fair_lag,physics,random,0.3144,0.1021,27490
house2,quarterly,fair_lag,linear,random,0.7575,0.0561,27490
house2,quarterly,fair_lag,forest,random,0.8807,0.0326,27490
house2,quarterly,fair_lag,boosting,random,0.8573,0.0373,27490
house2,quarterly,fair_lag,physics,ts_cv,0.2367,0.1036,27490
house2,quarterly,fair_lag,linear,ts_cv,0.7015,0.0583,27490
house2,quarterly,fair_lag,forest,ts_cv,0.7114,0.0498,27490
house2,quarterly,fair_lag,boosting,ts_cv,0.7065,0.052,27490
house2,daily,all,physics,time_split,0.7259,1.57,534
house2,daily,all,linear,time_split,0.7854,1.2998,534
house2,daily,all,forest,time_split,0.6973,1.6269,534
house2,daily,all,boosting,time_split,0.6662,1.7736,534
house2,daily,all,physics,random,0.8113,1.6125,534
house2,daily,all,linear,random,0.8339,1.4339,534
house2,daily,all,forest,random,0.8072,1.6209,534
house2,daily,all,boosting,random,0.7893,1.6722,534
house2,daily,all,physics,ts_cv,0.6993,1.4481,534
house2,daily,all,linear,ts_cv,0.5704,1.6668,534
house2,daily,all,forest,ts_cv,0.6515,1.5252,534
house2,daily,all,boosting,ts_cv,0.4733,1.9004,534
house2,daily,fair,physics,time_split,0.7259,1.57,534
house2,daily,fair,linear,time_split,0.7855,1.3008,534
house2,daily,fair,forest,time_split,0.6966,1.6315,534
house2,daily,fair,boosting,time_split,0.6786,1.7305,534
house2,daily,fair,physics,random,0.8113,1.6125,534
house2,daily,fair,linear,random,0.8341,1.4316,534
house2,daily,fair,forest,random,0.8078,1.616,534
house2,daily,fair,boosting,random,0.7893,1.6722,534
house2,daily,fair,physics,ts_cv,0.6993,1.4481,534
house2,daily,fair,linear,ts_cv,0.5741,1.6558,534
house2,daily,fair,forest,ts_cv,0.654,1.5158,534
house2,daily,fair,boosting,ts_cv,0.4739,1.8992,534
house2,daily,fair_lag,physics,time_split,0.731,1.5559,527
house2,daily,fair_lag,linear,time_split,0.7818,1.353,527
house2,daily,fair_lag,forest,time_split,0.7037,1.609,527
house2,daily,fair_lag,boosting,time_split,0.6864,1.7398,527
house2,daily,fair_lag,physics,random,0.8669,1.5143,527
house2,daily,fair_lag,linear,random,0.884,1.3057,527
house2,daily,fair_lag,forest,random,0.8842,1.2792,527
house2,daily,fair_lag,boosting,random,0.885,1.289,527
house2,daily,fair_lag,physics,ts_cv,0.6185,1.5766,527
house2,daily,fair_lag,linear,ts_cv,0.5492,1.6282,527
house2,daily,fair_lag,forest,ts_cv,0.6582,1.416,527
house2,daily,fair_lag,boosting,ts_cv,0.6626,1.4702,527
reactor,quarterly,all,physics,time_split,0.6072,0.7607,18812
reactor,quarterly,all,linear,time_split,0.7882,0.5927,18812
reactor,quarterly,all,forest,time_split,0.8727,0.3595,18812
reactor,quarterly,all,boosting,time_split,0.8621,0.3944,18812
reactor,quarterly,all,physics,random,0.7141,0.4394,18812
reactor,quarterly,all,linear,random,0.843,0.3697,18812
reactor,quarterly,all,forest,random,0.9445,0.1319,18812
reactor,quarterly,all,boosting,random,0.9425,0.1494,18812
reactor,quarterly,all,physics,ts_cv,0.6706,0.471,18812
reactor,quarterly,all,linear,ts_cv,0.7775,0.4029,18812
reactor,quarterly,all,forest,ts_cv,0.7536,0.2863,18812
reactor,quarterly,all,boosting,ts_cv,0.7534,0.2859,18812
reactor,quarterly,fair,physics,time_split,0.6072,0.7607,18812
reactor,quarterly,fair,linear,time_split,0.7878,0.5932,18812
reactor,quarterly,fair,forest,time_split,0.8738,0.3572,18812
reactor,quarterly,fair,boosting,time_split,0.8647,0.4008,18812
reactor,quarterly,fair,physics,random,0.7141,0.4394,18812
reactor,quarterly,fair,linear,random,0.8429,0.37,18812
reactor,quarterly,fair,forest,random,0.9446,0.132,18812
reactor,quarterly,fair,boosting,random,0.9425,0.1494,18812
reactor,quarterly,fair,physics,ts_cv,0.6706,0.471,18812
reactor,quarterly,fair,linear,ts_cv,0.7774,0.4032,18812
reactor,quarterly,fair,forest,ts_cv,0.7522,0.2869,18812
reactor,quarterly,fair,boosting,ts_cv,0.7512,0.2879,18812
reactor,quarterly,fair_lag,physics,time_split,0.6072,0.7607,18812
reactor,quarterly,fair_lag,linear,time_split,0.8494,0.4617,18812
reactor,quarterly,fair_lag,forest,time_split,0.8448,0.3913,18812
reactor,quarterly,fair_lag,boosting,time_split,0.8646,0.382,18812
reactor,quarterly,fair_lag,physics,random,0.7141,0.4394,18812
reactor,quarterly,fair_lag,linear,random,0.8828,0.2621,18812
reactor,quarterly,fair_lag,forest,random,0.9449,0.1297,18812
reactor,quarterly,fair_lag,boosting,random,0.9441,0.1464,18812
reactor,quarterly,fair_lag,physics,ts_cv,0.6706,0.471,18812
reactor,quarterly,fair_lag,linear,ts_cv,0.8369,0.3066,18812
reactor,quarterly,fair_lag,forest,ts_cv,0.7921,0.2696,18812
reactor,quarterly,fair_lag,boosting,ts_cv,0.7822,0.2696,18812
reactor,daily,all,physics,time_split,0.362,22.5159,196
reactor,daily,all,linear,time_split,0.7039,16.5649,196
reactor,daily,all,forest,time_split,0.3622,26.2538,196
reactor,daily,all,boosting,time_split,0.3164,26.4422,196
reactor,daily,all,physics,random,0.7416,15.4762,196
reactor,daily,all,linear,random,0.8833,9.6825,196
reactor,daily,all,forest,random,0.8359,11.4453,196
reactor,daily,all,boosting,random,0.8447,10.9997,196
reactor,daily,all,physics,ts_cv,0.2825,16.8461,196
reactor,daily,all,linear,ts_cv,-0.3527,15.2094,196
reactor,daily,all,forest,ts_cv,0.0274,19.0982,196
reactor,daily,all,boosting,ts_cv,-0.344,22.9168,196
reactor,daily,fair,physics,time_split,0.362,22.5159,196
reactor,daily,fair,linear,time_split,0.7059,16.4333,196
reactor,daily,fair,forest,time_split,0.3704,26.1965,196
reactor,daily,fair,boosting,time_split,0.3164,26.4422,196
reactor,daily,fair,physics,random,0.7416,15.4762,196
reactor,daily,fair,linear,random,0.8874,9.4545,196
reactor,daily,fair,forest,random,0.835,11.6281,196
reactor,daily,fair,boosting,random,0.8447,10.9997,196
reactor,daily,fair,physics,ts_cv,0.2825,16.8461,196
reactor,daily,fair,linear,ts_cv,-0.3749,15.4032,196
reactor,daily,fair,forest,ts_cv,0.0307,19.0782,196
reactor,daily,fair,boosting,ts_cv,-0.3439,22.9052,196
reactor,daily,fair_lag,physics,time_split,0.362,22.5159,196
reactor,daily,fair_lag,linear,time_split,0.782,13.3186,196
reactor,daily,fair_lag,forest,time_split,0.3832,26.0092,196
reactor,daily,fair_lag,boosting,time_split,0.2461,28.2414,196
reactor,daily,fair_lag,physics,random,0.7416,15.4762,196
reactor,daily,fair_lag,linear,random,0.8879,9.5087,196
reactor,daily,fair_lag,forest,random,0.8407,11.2063,196
reactor,daily,fair_lag,boosting,random,0.8392,11.5637,196
reactor,daily,fair_lag,physics,ts_cv,0.2825,16.8461,196
reactor,daily,fair_lag,linear,ts_cv,-1.6065,17.2524,196
reactor,daily,fair_lag,forest,ts_cv,-0.006,19.5036,196
reactor,daily,fair_lag,boosting,ts_cv,-0.3117,22.4805,196
